feature1,feature2,feature3,feature4,target
0.769680615,1.525054689,1.982713912,1.254977325,3
1.528561113,1.346670767,3.110433501,1.794574581,1
1.171809145,3.76545424,4.311818544,2.594590732,3
0.118479922,2.404981711,4.747603118,1.299834855,0
1.162041985,0.739116046,0.735367405,1.45850279,0
0.80745886,2.917861947,4.632938126,2.444505137,0
0.661539,4.122156197,2.460581465,2.440073073,2
1.305838144,3.032465261,1.291221941,2.282295266,1
1.515499761,0.480630034,2.295678781,2.387896889,0
1.46564006,1.515765927,4.900162876,2.085448887,0
0.580391238,3.266911149,2.46309047,1.503598118,1
0.845393812,1.292330534,1.643758051,1.691391987,0
1.165631716,2.443819428,3.167004272,1.363195434,3
1.487772564,2.774634053,1.200728094,2.816901123,1
0.760412881,1.073069528,0.379316641,2.16678359,1
0.907170512,1.940474644,0.64439861,1.801702834,1
0.446832513,-1.24126734,0.640229195,1.924011607,3
0.401896688,0.975612359,0.759513468,2.894566679,1
1.406262911,1.747431849,0.694135863,1.306702806,3
1.678120014,0.752216818,3.204373724,2.172459664,1
0.963994939,3.632411304,0.909400422,2.011777358,2
1.501766449,0.569858622,1.728336417,2.222908471,0
1.180818013,1.559955513,4.48394205,1.036220368,2
0.677440123,2.130740577,2.369808201,2.744247818,0
1.180697803,3.441273289,3.337788693,2.864236565,3
1.769018283,0.564137849,0.861599356,2.130266367,2
0.98208698,3.163163752,0.961445094,2.393301648,1
1.782321828,2.010233061,0.204343081,2.844998762,0
-0.309872552,1.018491349,0.844675315,2.414477269,0
1.410951252,2.462103474,1.392951695,1.305078086,2
1.043523534,2.199059696,0.885052421,2.15257672,3
0.850496325,1.399783123,0.443512669,2.213430093,2
1.045880388,2.069802085,0.603179356,1.848261343,3
0.006215543,1.614686403,2.30389384,2.472888471,3
0.890164056,2.113517345,1.031668592,2.86873403,0
1.178556286,2.662130675,1.821349305,2.851137026,2
1.738947022,3.586016816,2.517086354,1.901678743,2
0.740864891,0.762184501,3.451974143,1.226476092,3
0.595753199,4.133033375,0.196560699,2.969682398,2
0.749121478,0.0479122,3.997051995,2.677796173,1
1.457701059,1.848214905,3.139501947,1.249325362,1
1.164375555,2.588317206,0.40879516,2.841683765,2
0.735119898,2.280991868,4.367893121,2.739792724,2
1.256633717,1.37730048,4.604362003,2.037676114,3
1.048538775,1.79187775,0.305389799,2.182550871,1
1.484322495,1.506999065,1.384388241,1.798005408,1
0.648973453,1.410635243,4.031006399,1.109523278,0
0.836168927,2.849602097,3.741298452,1.670394483,3
0.803945923,2.357015486,0.922605097,2.605706897,0
0.268242526,1.307090405,1.046746617,1.009264046,1
1.148060139,2.899599875,1.852360514,1.666998343,3
1.130527636,2.307299521,2.422614926,1.796337387,2
1.002556728,2.812862119,3.091273858,2.074791206,3
0.882706433,2.629628842,1.844568198,2.839711233,2
0.292314629,1.171004989,2.312673581,1.692691989,2
0.789677339,1.43981896,3.737354691,1.693906404,3
0.828642742,2.747293605,0.183416014,2.475002496,2
0.598861365,2.610370265,1.262184722,1.904435882,0
0.919357144,1.979098406,3.566747929,1.449209646,1
1.202025428,2.117327383,4.476034188,1.904879032,2
1.943092951,3.277664896,2.558387211,1.281714041,0
1.087288906,1.408428611,2.660567426,1.352773973,2
1.128775195,2.547097381,0.535860057,1.996735545,1
0.962777042,1.797807348,2.237061834,1.837850899,0
0.040614392,1.782318797,2.663086332,2.829691802,1
0.986743062,3.098776852,1.212352518,1.724787798,1
1.030115105,2.825416349,1.346216155,2.161176701,0
2.231621056,2.813509636,1.886420816,2.264528576,0
0.903819518,3.305478807,0.100355989,1.026188913,0
1.150773671,2.021003842,1.610395828,2.327074744,3
0.982644115,2.681952971,1.057240035,1.356071934,0
0.415660981,1.689733243,1.637486761,2.922140635,0
1.571411407,2.324166352,0.598810659,1.297325456,0
1.375966516,1.869856946,4.452636404,1.829248247,0
1.395515974,2.096995965,2.967962268,1.170699336,2
0.545306273,2.595157025,3.395511596,2.993748504,3
1.701397155,1.181779317,3.945856193,2.004390021,1
0.299074469,4.092387276,2.492210995,2.190770035,0
1.293428547,0.993982619,0.43460144,1.134152955,2
2.095227813,0.785811387,2.685532709,2.499920941,2
0.504731837,3.158110874,2.93420559,1.419811186,2
0.716851135,2.791662694,3.727197371,2.796108579,1
1.049825683,2.624119817,2.158297731,1.410279281,0
0.748262173,2.628345509,0.637901514,1.381375441,3
0.224668284,1.987753227,1.418879529,1.073099336,3
1.034281487,1.102745629,1.815411482,1.94413389,2
0.468848143,2.075804558,3.229586207,2.129682267,1
1.236796215,1.322838288,2.853891523,1.131417279,1
0.540287883,2.975119733,1.780483629,2.551055233,1
1.774967203,1.852942618,4.932576244,1.906577669,3
0.608373354,1.174502803,3.028874097,2.048780539,2
0.838969242,1.678614158,1.186133959,1.881525494,0
1.406758609,2.412931454,0.508912363,1.801526122,3
0.384567842,1.436275447,0.764295696,2.119280663,2
1.113729967,1.177779604,1.229788642,1.310480492,2
1.653571377,2.243687211,0.803406866,1.363856261,0
0.196258383,2.244966571,0.93283512,2.723571242,0
1.092316929,1.493056825,1.425475843,2.892230924,0
1.129941397,1.528961694,0.866867976,1.746618633,1
1.390911436,2.232049937,4.483827123,1.541489346,0
0.381524645,0.551915659,0.401168728,2.287999086,2
0.339771693,0.592536226,2.622556948,1.817468342,0
1.260970783,1.281555779,2.051984135,1.050772711,2
1.148492337,1.786552848,4.911893085,1.312305195,3
1.125246425,2.310907566,0.560194511,2.431944458,1
1.173224105,3.475356217,1.989277995,2.317847884,3
0.659987639,2.857659623,4.847352166,1.054191985,3
1.116126849,1.84006147,4.327535629,1.443944324,2
1.146536237,1.980983792,4.085360355,1.462149593,3
0.642824291,0.997470635,1.289514135,2.343785487,2
1.932887256,1.981486864,0.854437937,1.039421076,0
1.23691646,1.711341361,3.3432161,1.208217164,0
0.404348251,2.32271856,4.646879946,2.599832171,2
1.328276804,1.172769056,2.783814465,1.357089324,0
0.512659165,2.519346514,2.858063447,2.305492216,1
1.393542302,3.532738913,1.399895468,1.476365562,3
1.57929779,1.891239852,3.847464666,1.198882786,1
0.589658841,2.401711722,0.935218743,1.486344382,3
1.481688065,2.690143992,1.618396182,2.444533864,0
1.206390463,1.598779528,2.127182193,2.711392936,1
1.41103008,2.224092482,2.538051893,2.660439729,0
1.948396491,2.012592401,1.212048662,1.794367059,3
0.877305942,2.097676099,0.574184124,2.336170273,2
0.623131918,1.226990216,3.053100212,1.409968591,2
0.555242785,2.024510174,1.443152766,1.586295461,1
0.592094858,2.497998291,2.906191107,2.792671637,0
0.961449145,3.451143608,0.771813576,1.026003847,0
1.170575987,2.959270826,2.405700509,1.171017062,1
1.1383454,4.153182458,2.662947163,1.41577251,2
1.413591625,1.232652437,0.259117684,1.053064408,3
1.006500946,2.872320637,1.683021391,1.36287087,1
1.726767039,2.183342006,0.672073385,2.166083122,3
0.867671583,4.189802933,0.316874852,1.842849101,2
2.360084583,1.191701715,4.949801162,2.785343422,0
1.312833674,1.160278158,1.611769225,2.634887123,2
0.571421222,1.400607355,4.049372229,1.683634703,1
0.464553751,-0.123895724,1.273203274,1.518846867,0
1.241236208,1.474244978,3.407513611,1.759384816,1
0.888268607,1.240867338,3.801139299,2.180589885,1
1.357000247,2.150393786,2.978193703,1.536127282,2
1.236618812,2.341755976,2.357880943,2.248297816,1
0.963585544,3.876170839,2.059204571,1.818823304,2
0.576603141,2.950423838,1.744341333,2.104094362,0
0.242576388,1.423096344,4.647645721,1.872253058,2
0.776742524,1.101585329,4.153097039,1.588931519,0
1.428199397,2.491919172,4.825134553,2.896906614,2
1.107046872,0.679766793,0.621486117,2.527211588,3
0.377130611,3.831458766,3.654337376,1.280226352,3
1.086590463,3.179440121,4.691702284,2.736935952,1
1.19265869,1.530824348,0.906165331,1.974862396,2
0.558071282,0.286865471,0.332481337,2.789104454,2
1.076862553,3.353872374,3.705603246,2.599710512,0
1.029104359,1.885460155,2.872365566,1.850427009,1
0.428514851,3.237816312,4.209143884,1.044938617,2
